Nome,Numero,Candidatura,Filiacao,Orgao,Concelho,Freguesia,Suplente
Tiago de Matos Gomes Guilherme,1,Volt,Volt,Camara Municipal,Lisboa,-,n
Sandra Maria Rosa Marques,2,Volt,Volt,Camara Municipal,Lisboa,-,n
Abel Fernando Barros Rodrigues,3,Volt,Volt,Camara Municipal,Lisboa,-,n
Ana Rebeca Steingräber Gradissimo,4,Volt,Volt,Camara Municipal,Lisboa,-,n
Aldónio José Pires Pestana,5,Volt,Independente,Camara Municipal,Lisboa,-,n
Silke Jellen Geb. Wolf,6,Volt,Volt,Camara Municipal,Lisboa,-,n
Nandan Niranjan Bhoopalam,7,Volt,Volt,Camara Municipal,Lisboa,-,n
Melanie Constança Rodrigues dos Santos,8,Volt,Volt,Camara Municipal,Lisboa,-,n
Filipe Neto Rodeia Macedo,9,Volt,Volt,Camara Municipal,Lisboa,-,n
Leonor Botelho Pereira Neves Baptista,10,Volt,Volt,Camara Municipal,Lisboa,-,n
Rui Hermes Martins Fernandes Nunes,11,Volt,Volt,Camara Municipal,Lisboa,-,n
Maria Isabel Milheiriço Fontes Cabral Monjardino,12,Volt,Volt,Camara Municipal,Lisboa,-,n
Afonso da Costa e Silva Carvalho Alves,13,Volt,Volt,Camara Municipal,Lisboa,-,n
Helena Isabel Gonçalves Luís Estima Martins,14,Volt,Volt,Camara Municipal,Lisboa,-,n
João Tomás Carrilho Roque,15,Volt,Volt,Camara Municipal,Lisboa,-,n
Maria Francisca Burnay Gonzalez Rey,16,Volt,Volt,Camara Municipal,Lisboa,-,n
José Manuel Rodrigues de Almeida,17,Volt,Volt,Camara Municipal,Lisboa,-,n
Ana Patrícia Simões Gonçalves de Carvalho,18,Volt,Volt,Camara Municipal,Lisboa,-,y
António Mateus Simão da Conceição Ferreira de Carvalho,19,Volt,Volt,Camara Municipal,Lisboa,-,y
Raquel Maria de Melo Dias,20,Volt,Volt,Camara Municipal,Lisboa,-,y
Yannick Schade,21,Volt,Volt,Camara Municipal,Lisboa,-,y
Joana Rita de Almeida Sacramento,22,Volt,Volt,Camara Municipal,Lisboa,-,y
Laurens William Alexander Asamoah,23,Volt,Volt,Camara Municipal,Lisboa,-,y
Miguel Ângelo Nóbrega Macedo,1,Volt,Volt,Assembleia Municipal,Lisboa,-,n
Ana Patrícia Simões Gonçalves de Carvalho,2,Volt,Volt,Assembleia Municipal,Lisboa,-,n
